	TeamName	Annotation
77	Маминькин Сырочек	, Маменькин сыночек, , , , , , , 
78	СамиСусами	Сами с усами, , , , , , , , 
79	АРХиМЕДы	Архимед, , , , , , , , 
80	Рыбка любит тишину	, Счастье любит тишину, , , , , , , 
81	Вумные	Умные, , , , , , , , 
82	Элементарно Вова	, Элементарно, Ватсон, , , , , , , 
83	Незнаёки на игре	, Незнайка на луне, , , , , , , 
84	Мурмишки	Мимимишки, , , , , , , , 
85	Офшор Аскеров	Ровшан Аскеров, , , , , , , , 
86	Чертежиллы	Чертежи, , , , , , , , 
87	HYGGE головного мозга	, Хюгге головного мозга, , , , , , , 
88	PinoCollider	Пинаколада, , , , , , , , 
89	Дефект бабочки	Эффект бабочки, , , , , , , , 
90	LeТучка	Летучка, , , , , , , , 
91	Сельд под шубой	, Сельдь под шубой, , , , , , , 
92	Агонь	Огонь, , , , , , , , 
93	Дарт Котейдер	Дарт Вейдер, , , , , , , , 
94	Кладбище домашних работ	, Кладбище домашних животных, , , , , , , 
95	лагуна матата	акуна матата, , , , , , , , 
96	Ящик Памидоры голосовалза 18+	, Ящик Пандоры , , , , , , , 
97	Жека Чан	Джеки Чан, , , , , , , , 
98	Омсквичи	Омичи, Москвичи, , , , , , , 
99	сОмса	Самса, , , , , , , , 
100	Ходячие мудрецы	, Ходячие мертвецы, , , , , , , 
101	Аццки нулевой потенциал	, Адски нулевой потенциал, , , , , , , 
102	Йети Галактики	Дети Галактики, , , , , , , , 
103	Один на всех	Один за всех, , , , , , , , 
104	Осеннее обострение	, Весеннее обострение, , , , , , , 
105	8 друзей Шоршиной	, 11 друзей Оушена, , , , , , , 
106	Трезвая вишня	Пьяная вишня, , , , , , , , 
107	Тик Токарь	Тиктокер, , , , , , , , 
108	SMors	Морс, , , , , , , , 
109	Чак-Чак Норрис	Чак Норрис, , , , , , , , 
110	Ахуймитесь	Ах, уймитесь, , , , , , , , 
111	Чубаки	Чубакка, , , , , , , , 
112	Че Полина	Чиполлино, , , , , , , , 
113	Омерзительная восьмёрка	Великолепная восьмерка, , , , , , , , 
114	Куртка Бэйна	Курт Кобейн, , , , , , , , 
115	Перегнули Халку	Перегнули палку, , , , , , , , 
116	BADняги	Бедняги, , , , , , , , 
117	Раздевай и влатвуй	Разделяй и властвуй, , , , , , , , 
118	Лена Головач	Лера Бородач, , , , , , , , 
119	Вайнот	Why not, , , , , , , , 
120	Один в поле воин	, Один в поле не воин, , , , , , , 
121	НИИ БИ МОЗГИ	, мат, , , , , , , 
122	Хороводоводы	хороводы, , , , , , , , 
123	Илона Маскова	Илон Маск, , , , , , , , 
124	Инфузория - тупилька	, Инфузория-туфелька, , , , , , , 
125	Когти в печень, никто не вечен	, Нож в печень, никто не вечен, , , , , , , 
126	Сила мюсли	Сила мысли, , , , , , , , 
127	КемЧемЫыы	Ким Чен Ын, , , , , , , , 
128	Абама	Обама, , , , , , , , 
129	Кекс в большом городе	, Секс в большо городе, , , , , , , 
130	Аум-ляут	А-умляут, , , , , , , , 
131	Властелин полей	, Властелин колец, , , , , , , 
132	Миг Джаггера	Мик Джаггер, , , , , , , , 
133	Прямой Зефир	Прямой эфир, , , , , , , , 
134	Тихий дрон	Тихий дон, , , , , , , , 
135	Котяня Вомбат	Батяня Комбат, , , , , , , , 
136	300 спонтанцев	300 спартанцев, , , , , , , , 
137	Brighton bitches	Brighton beach, , , , , , , , 
138	Леонардо Дай Винчик!	Леонардо да Винчи, , , , , , , , 
139	Трое в лодке (пофиг что нас пятеро)	, , Трое в лодке не считая собаки, , , , , , 
140	Ноет Ковчег	Ноев Ковчег, , , , , , , , 
141	Otvetov net no vi derzgites'	, Денег нет,но вы держитесь, , , , , , , 
142	Хурма в иллюминаторе	, Земля в иллюминаторе, , , , , , , 
143	Ммедлячок	Медлячок, , , , , , , , 
144	А судьи кот	А судьи кто, , , , , , , , 
145	Кошкин Ёж	Ёжкин кот, , , , , , , , 
146	Комуза	Кому за, , , , , , , , 
147	ЛаЛаЭнд	Лалалэнд, , , , , , , , 
148	Холопеньос	Холопеньо, , , , , , , , 
149	Остановка по кайфу	, Обстановка по кайфу, , , , , , , 
150	Мюсли с ух	Мысли вслух, , , , , , , , 
151	СНАМИВЕСЕЛЬЕ	, С нами веселье, , , , , , , 
152	Спасильники 2	Спасатели 2, , , , , , , , 
153	За_дротики	Задротики, , , , , , , , 
154	ХмелиСумели	Хмели-сунели, , , , , , , , 
155	Ни Кола Ни Теслы	, Никола Тесла, , , , , , , 
156	9 кругов мармелада	, 9 кругов ада, , , , , , , 
157	Витипедия	Википедия, , , , , , , , 
158	Дональд Трап	Дональд Трамп, , , , , , , , 
159	Клятва Гиппопотама	, Клятва Гиппократа, , , , , , , 
160	Дед Мазай и заяцы	, Дед Мазай и зайцы, , , , , , , 
161	лаваЖ	лаваш, , , , , , , , 
162	Трое в лодке считают в столбик	, Трое в лодке, не считая собаки, , , , , , , 
163	FAQты	Факты, , , , , , , , 
164	СТОМАТОЛОГ и Я	Стоматология, , , , , , , , 
165	Омсквичи	Москвичи, Омичи, , , , , , , 
166	Давид-19	Ковид-19, , , , , , , , 
167	Пласт-массовый разум	Пластмассовый разум, , , , , , , , 
168	Умственно Усталые	, Умственно отсталые, , , , , , , 
169	Какого маракуйя?	мат, , , , , , , , 
170	Двое из норы	Двое из ларца, , , , , , , , 
171	Робiм Гуд	Робин Гуд, , , , , , , , 
172	Жеваный рот	мат, , , , , , , , 
173	Гиппопотамус	Гиппопотам, , , , , , , , 
174	ЭкстраГон	Эстрагон, , , , , , , , 
175	Разумные мЮсли	, Разумные мысли, , , , , , , 
176	На ковре вертолёте	, На ковре самолёте, , , , , , , 
177	9 друзей Антоушена	, 11 друзей Оушена, , , , , , , 
178	КВИЗдец	мат, , , , , , , , 
179	Хогвардс	Хогвартс, , , , , , , , 
180	ПротивоТаньковое пиво	, Противотанковое пиво, , , , , , , 
181	Родственные уши	, Родственные души, , , , , , , 
182	Шестой алимент	шестой элемент, , , , , , , , 
183	Унесенный спиртом	, Унесённые ветром, , , , , , , 
184	Спритни Бирс	Бритни Спирс, , , , , , , , 
185	Гландыши	Ландыши, , , , , , , , 
186	Скорость Светы	Скорость света, , , , , , , , 
187	Тюлитка и Улень	Улитка и тюлень, , , , , , , , 
188	Холодный вечер с дождем	, Холодный ветер с дождём, , , , , , , 
189	ДевАчьки	девочки, , , , , , , , 
190	СПорно	Спорно, , , , , , , , 
191	Сокол Тысячелистника	, Сокол Тысячелетия, , , , , , , 
192	Я хочу от тебя идей	, Я хочу от тебя детей, , , , , , , 
193	Кто не рисует, тот не пьёт шампанское!	, Кто не рискует, тот не пьёт шампанское!, , , , , , , 
194	Холодные икры	Голодные игры, , , , , , , , 
195	Джинн Толик	Джинн Тоник, , , , , , , , 
196	50 shades of Grace	, 50 shades of grey, , , , , , , 
197	Оскар Ди Каприо	Леонардо Ди Каприо, , , , , , , , 
198	Тише, Маги, я Дубровский 	Тише, Маша, я Дубровский, , , , , , , , 
199	ВОВ4ИК	Вовчик, , , , , , , , 
200	Церебро	Серебро, , , , , , , , 
201	Над пропастью не ржи	Над пропастью во ржи, , , , , , , , 
202	Красоты спасет мир	Красота спасет мир, , , , , , , , 
203	ROSSICA ONE LOVE	ROSSIA ONE LOVE, , , , , , , , 
204	#непризолявсознание	-, , , , , , , , 
205	Тусовка за 30	-, , , , , , , , 
206	Сокол-ПЖД	-, , , , , , , , 
207	Конклав	-, , , , , , , , 
208	Без шампанского не спит(ь)ся	-, , , , , , , , 
209	Бета версия	-, , , , , , , , 
210	Сантиметровый	-, , , , , , , , 
211	Глыбы	-, , , , , , , , 
212	Kaba Nostra	Cosa Nostra, , , , , , , , 
213	Мания Величия	-, , , , , , , , 
214	Экстренное торможение	-, , , , , , , , 
215	Рельсоукладчики	-, , , , , , , , 
216	Нефилософы	-, , , , , , , , 
217	Усы Снежанны	-, , , , , , , , 
218	Приятного аппетита	-, , , , , , , , 
219	Июльские	-, , , , , , , , 
220	Sour cream	-, , , , , , , , 
221	День рождения	-, , , , , , , , 
222	Фирменные Алкоголики	-, , , , , , , , 
223	Убогие боги	-, , , , , , , , 
224	НеКоронованные	-, , , , , , , , 
225	Черный Воронок	-, , , , , , , , 
226	Ее зовут Пегги Поршень	-, , , , , , , , 
227	Максима	-, , , , , , , , 
228	МобильнаяБригада	-, , , , , , , , 
229	Эффект бобра	-, , , , , , , , 
230	Четыре сорванные башни	Две сорванные башни, , , , , , , , 
231	50 shades of hrey substance	50 shades of grey, , , , , , , , 
232	Бомьические.сом	-, , , , , , , , 
233	Дети маминых подруг	-, , , , , , , , 
234	Перваки	-, , , , , , , , 
235	Мозговой Ггорох Семенович	-, , , , , , , , 
236	MartinI4girls	-, , , , , , , , 
237	Команда Лысого	-, , , , , , , , 
238	Неугомон	-, , , , , , , , 
239	Ирудиты	-, , , , , , , , 
240	так и сяк	-, , , , , , , , 
241	"ЗАО ""Дно"""	-, , , , , , , , 
242	Felicita	-, , , , , , , , 
243	Премудрый вискарь	Премудрый пескарь, , , , , , , , 
244	Визуальный шум	-, , , , , , , , 
245	Ялла и партнёры	-, , , , , , , , 
246	Highly likely	-, , , , , , , , 
247	Гурбангулы Бердымухаамедулы	-, , , , , , , , 
248	Педсовет	-, , , , , , , , 
249	Валенки	-, , , , , , , , 
250	ДУБ-Лёры	-, , , , , , , , 
251	Победа с Солянкой	-, , , , , , , , 
252	Рассол и арахис	-, , , , , , , , 
253	Всё Путем	-, , , , , , , , 
254	Толи воля то-ли нет	-, , , , , , , , 
255	БИС с бодрыми кабанчиками	-, , , , , , , , 
256	EvoFamily	-, , , , , , , , 
257	Dwight K. Schrute III	-, , , , , , , , 
258	Аделантадо	-, , , , , , , , 
259	Кузькина мать	-, , , , , , , , 
260	Угарный газ	-, , , , , , , , 
261	О'Крошка по-домашнему	О крошка, , , , , , , , 
262	Мальтийская болонка	-, , , , , , , , 
263	Компот мне врот	-, , , , , , , , 
264	БезПравил	-, , , , , , , , 
265	V значит Ванадий	-, , , , , , , , 
266	Ещё по одной	-, , , , , , , , 
267	Пришли выпить	-, , , , , , , , 
268	Мама, не пой!	-, , , , , , , , 
269	Варум бы нихт	-, , , , , , , , 
270	Команда Б	-, , , , , , , , 
271	Дебютанты	-, , , , , , , , 
272	Помедленнее я записываю	-, , , , , , , , 
273	Орден Гармблдора	-, , , , , , , , 
274	Соседи Гоголя	-, , , , , , , , 
275	Вассервуман	Вассерман, , , , , , , , 
276	Маша вкусно матерится	-, , , , , , , , 
277	deltaплан	-, , , , , , , , 
278	Синий кактус	-, , , , , , , , 
279	Домашние забавы	-, , , , , , , , 
280	Самообнуляющие карантинки	-, , , , , , , , 
281	Джо Триббани	-, , , , , , , , 
282	Бройлер 747	-, , , , , , , , 
283	Angel Di Maria	-, , , , , , , , 
284	Под допингом	-, , , , , , , , 
285	Лемзя и буквоеды	-, , , , , , , , 
286	Вредные ископаемые	Полезные ископаемые, , , , , , , , 
287	ДЕМЕНЦИЯ БЛИЗКО	-, , , , , , , , 
288	Занятное Фондю	-, , , , , , , , 
289	Жигиттер и Настя с Катей	-, , , , , , , , 
290	Виски и киски	-, , , , , , , , 
291	Пилея	-, , , , , , , , 
292	Roskhosni!	-, , , , , , , , 
293	Доживем до понидельника	-, , , , , , , , 
294	Второй закон декантера	-, , , , , , , , 
295	Бюст всемогущий	Брюс Всемогущий, , , , , , , , 
296	Коргия	Корги, , , , , , , , 
297	Der Schmetterling	-, , , , , , , , 
298	Пакет с пакетиками	-, , , , , , , , 
299	Физик Ядерщика	-, , , , , , , , 
300	Коко Джамбо	-, , , , , , , , 
301	ПИК	-, , , , , , , , 
302	Этажом выше	-, , , , , , , , 
303	Миэль	-, , , , , , , , 
304	Запеченые тыквы	-, , , , , , , , 
305	Кубики мага	"Кубики ""Маги"", , , , , , , , "
306	Среда - идеальный вариант	-, , , , , , , , 
307	100 пудов	-, , , , , , , , 
308	Без босса	-, , , , , , , , 
309	Паровозик, который пробует	Паровозик, который смог, , , , , , , , 
310	Дай только повод	-, , , , , , , , 
311	Зая и Кися	-, , , , , , , , 
312	Трансботки	-, , , , , , , , 
313	План И	-, , , , , , , , 
314	Флажок	-, , , , , , , , 
315	Конвульсиум медикум	-, , , , , , , , 
316	Бритва О	-, , , , , , , , 
317	Роскреатив	-, , , , , , , , 
318	Исподвыподверта	-, , , , , , , , 
319	Неслучайная компания	-, , , , , , , , 
320	Любава	-, , , , , , , , 
321	5 o'clock	-, , , , , , , , 
322	Жора с шампанским	-, , , , , , , , 
323	С днем рождения, Вика!	-, , , , , , , , 
324	8 лошадинных сил	-, , , , , , , , 
325	Newbies	-, , , , , , , , 
326	Grumpy Clerks	-, , , , , , , , 
327	Интеллектуал нач аокашня	-, , , , , , , , 
328	Мимокрокодил	Мимо проходил, , , , , , , , 
329	Родственные уши	-, , , , , , , , 
330	NullPointerExeption	-, , , , , , , , 
331	Чердаки	-, , , , , , , , 
332	Жизнь хороша и жить хорошо	-, , , , , , , , 
333	Да не по-колпаковски, а по-колоколовски	-, , , , , , , , 
334	Бананы-Кокосы	-, , , , , , , , 
335	Гео космос	-, , , , , , , , 
336	Множественные умы Билли Миллигана	-, , , , , , , , 
337	Где здесь выход?	-, , , , , , , , 
338	KASTA	-, , , , , , , , 
339	НИИ Батино	-, , , , , , , , 
340	Конина, томлёная в коньяке	-, , , , , , , , 
341	47-хромосома	-, , , , , , , , 
342	BETA версия	-, , , , , , , , 
343	Азерчай	-, , , , , , , , 
344	Lucky Production	-, , , , , , , , 
345	ICAN	-, , , , , , , , 
346	Dr.Flusoff	-, , , , , , , , 
347	Печеньки Шелдона	-, , , , , , , , 
348	АБВГДейка	-, , , , , , , , 
349	Если да, то да!	-, , , , , , , , 
350	Восьмое королевство	-, , , , , , , , 
351	Мозгу больно	-, , , , , , , , 
352	Душка Нюф	-, , , , , , , , 
353	Жертвы РАЗУМА	-, , , , , , , , 
354	Его убила гравитация	-, , , , , , , , 
355	ОК Гугл	-, , , , , , , , 
356	Город детства	-, , , , , , , , 
357	Pikingli	-, , , , , , , , 
358	Поющие и пьющие	-, , , , , , , , 
359	PlayStation	-, , , , , , , , 
360	12IQ	-, , , , , , , , 
361	Те самые	-, , , , , , , , 
362	К разврату готовы	-, , , , , , , , 
363	Шпэндрю	-, , , , , , , , 
364	Oh, my God!	-, , , , , , , , 
365	Я такой бегу, а волосы назад	-, , , , , , , , 
366	Мыженегугл	-, , , , , , , , 
367	Вумыя	-, , , , , , , , 
368	ПТУ имени Бузовой	-, , , , , , , , 
369	Донтварибисекси	-, , , , , , , , 
370	Бутерброд с сыром	-, , , , , , , , 
371	Унесённые брендом	Унесённые ветром, , , , , , , , 
372	Бонифаций	-, , , , , , , , 
373	Наивные пташки	-, , , , , , , , 
374	Кучка ромашек	-, , , , , , , , 
375	Ой,всё. Джо не делится едой	-, , , , , , , , 
376	Богатырь и мелюзга	-, , , , , , , , 
377	Ну и блиц с ними!	-, , , , , , , , 
378	Томский Гуманитарный Лицей	-, , , , , , , , 
379	ПОПкорн Hub	PornHub, , , , , , , , 
380	Мы потерялись	-, , , , , , , , 
381	Очкарики	-, , , , , , , , 
382	ДайБог	-, , , , , , , , 
383	Очень сложно, досвидания	-, , , , , , , , 
384	Первый спутниковый	-, , , , , , , , 
385	Питерские мурики	-, , , , , , , , 
386	Вгифки	-, , , , , , , , 
387	Синус за косинус	-, , , , , , , , 
388	Транспортный цех	-, , , , , , , , 
389	Девочки с пипидастрами	-, , , , , , , , 
390	Jet Pack NASA	-, , , , , , , , 
391	The Big Ben Theory	-, , , , , , , , 
392	Я без команды	-, , , , , , , , 
393	Весёлая Саламандра	-, , , , , , , , 
394	Чё такое?	-, , , , , , , , 
395	WInner	-, , , , , , , , 
396	Магический Семён	-, , , , , , , , 
397	Как-то так	-, , , , , , , , 
398	лыжники vs сноубордисты	-, , , , , , , , 
399	5 подруг Гермионы	-, , , , , , , , 
400	Duck hunt	-, , , , , , , , 
401	Джон сноу & компания	-, , , , , , , , 
402	Трениришка	-, , , , , , , , 
403	Сексест	-, , , , , , , , 
404	Йо-хо-хо и бутылка рома	-, , , , , , , , 
405	Наконец ты	-, , , , , , , , 
406	Panda Mia!	Mamma Mia, Pandemia, , , , , , , 
407	Алкогольный рок-н-ролл	-, , , , , , , , 
408	Красный треугольник	-, , , , , , , , 
409	Дури еще хватает	-, , , , , , , , 
410	Белки со стрелками	-, , , , , , , , 
411	Лёлик анаболик	лёлек и болек, , , , , , , , 
412	Дети Альберта Хофмана	-, , , , , , , , 
413	Чили	-, , , , , , , , 
414	Короли прокрастинации	-, , , , , , , , 
415	Комната 404	-, , , , , , , , 
416	Voron'Ezh ♂М	-, , , , , , , , 
417	Алесь Мухин и Ровшан Аскеров с женщинами и Фёдором Двинятиным	-, , , , , , , , 
418	Экспелиармус	-, , , , , , , , 
419	Короли прокрастинации	-, , , , , , , , 
420	Ватрушки	-, , , , , , , , 
421	Ширни мне героин	-, , , , , , , , 
422	Зелёная экселька	-, , , , , , , , 
423	Ка-Тет	-, , , , , , , , 
424	Пресс Тора	-, , , , , , , , 
425	Ну хоть поржем	-, , , , , , , , 
426	Мозги еще работают	-, , , , , , , , 
427	Тёмные лошадки	-, , , , , , , , 
428	удача	-, , , , , , , , 
429	СуперСтарки	-, , , , , , , , 
430	Tutty-Beauty	-, , , , , , , , 
431	YES ladies in dress	-, , , , , , , , 
432	Рики	-, , , , , , , , 
433	Рамамба Хару Мамбуру	-, , , , , , , , 
434	Полоний-217	-, , , , , , , , 
435	Короновирусная Реакция Японии	-, , , , , , , , 
436	БухLess	Духлесс, , , , , , , , 
437	Ну, хоть поржем	-, , , , , , , , 
438	Нефилологи	-, , , , , , , , 
439	Хошь - ни хошь, а ёж!	-, , , , , , , , 
440	Рафинад	-, , , , , , , , 
441	#некантовать	-, , , , , , , , 
442	SomeBrain'ы	-, , , , , , , , 
443	JoJo	-, , , , , , , , 
444	KleverЫ	-, , , , , , , , 
445	Felucita	-, , , , , , , , 
446	Камбэк Флэшбэка	-, , , , , , , , 
447	Пошаманим	-, , , , , , , , 
448	Generatton П	-, , , , , , , , 
449	Оставайся мальчик с нами	-, , , , , , , , 
450	Sax & Violins	Sex and Violence, , , , , , , , 
451	Три сорванные башни	-, , , , , , , , 
452	Angry Nerds	Angry Birds, , , , , , , , 
453	Дайте спички, видим море	-, , , , , , , , 
454	Коты Шредингера	-, , , , , , , , 
455	English Centre Fакел	-, , , , , , , , 
456	Шапка Бро	-, , , , , , , , 
457	Привет, Siri	-, , , , , , , , 
458	Собаки бешеные	-, , , , , , , , 
459	Риона	-, , , , , , , , 
460	ЖК Садовый Квартал	-, , , , , , , , 
461	Последний звоночек	-, , , , , , , , 
462	Заблокировано РКН	-, , , , , , , , 
463	Пандемия	-, , , , , , , , 
464	Просто Эйфьядлайёкюдль	-, , , , , , , , 
465	СПАРТА	-, , , , , , , , 
466	Солянка Дамблдора	-, , , , , , , , 
467	В джазе только девушки.	-, , , , , , , , 
468	Порхай, как бабушка 	Порхай, как бабочка, , , , , , , , 
469	МультиПульти	-, , , , , , , , 
470	Маргарин КЛАБ	-, , , , , , , , 
471	Нелогичные	-, , , , , , , , 
472	Это всё от нервов	-, , , , , , , , 
473	Just4Fun	-, , , , , , , , 
474	Авокадо Кентавра	Авада Кедавра, , , , , , , , 
475	Дедinside	Dead inside, , , , , , , , 
476	#openпрофи	-, , , , , , , , 
477	Незнакомцы	-, , , , , , , , 
478	Праздничные Броненосцы	-, , , , , , , , 
479	Инфоцыгане	-, , , , , , , , 
480	Время большого мозга	-, , , , , , , , 
481	Машмет	-, , , , , , , , 
482	Секция вивисекции	-, , , , , , , , 
483	МИД	-, , , , , , , , 
484	ДОС(друзья объединённые Славой)	-, , , , , , , , 
485	глядиGaudi	-, , , , , , , , 
486	Не вопрос	-, , , , , , , , 
487	Анти Пин	-, , , , , , , , 
488	Большой вопрос	-, , , , , , , , 
489	NullPolnterExeptton	-, , , , , , , , 
490	Я пришёл с Батей	-, , , , , , , , 
491	Мозгуновым чисто По…	-, , , , , , , , 
492	StandUp	-, , , , , , , , 
493	Трудоголенькие	-, , , , , , , , 
494	Хоккейное Рабство	-, , , , , , , , 
495	Пельмешки	-, , , , , , , , 
496	От Винта	-, , , , , , , , 
497	Сестры Супермена	-, , , , , , , , 
498	Санек и компания	-, , , , , , , , 
499	Мокрые кросы	-, , , , , , , , 
500	Цирк вызывали?)	-, , , , , , , , 
501	Клёверы	-, , , , , , , , 
502	Тотальным лежим	-, , , , , , , , 
503	Ctrl+Alt+Delete	-, , , , , , , , 
504	Мы не с НАТО	-, , , , , , , , 
505	Злой Гелий	Злой Гений, , , , , , , , 
506	Всегда говори AGA	Всегда говори да, , , , , , , , 
507	Moms&N	-, , , , , , , , 
508	Тиранозавр Кекс	Тиранозавр Рекс, , , , , , , , 
509	Подружки Шелдона Купера	-, , , , , , , , 
510	Шуры-Муры	-, , , , , , , , 
511	Синяк судьбы	-, , , , , , , , 
512	Ltd.Рога и копыта	-, , , , , , , , 
513	яМайка	Ямайка, , , , , , , , 
514	Игра в Бисер	-, , , , , , , , 
515	На дивание мы тупем	-, , , , , , , , 
516	Бомбический.сом	-, , , , , , , , 
517	А ну-ка девочки	-, , , , , , , , 
518	Извилины	-, , , , , , , , 
519	Яма на яме	-, , , , , , , , 
520	Звёзды Вестероса	-, , , , , , , , 
521	Дети Пикассо	-, , , , , , , , 
522	Не наш пакет	-, , , , , , , , 
523	Who eti people? Where are my veshchi?	-, , , , , , , , 
524	Мимо проходили	-, , , , , , , , 
525	Девичник+	-, , , , , , , , 
526	Мультфильмы	-, , , , , , , , 
527	Йожин з бажин	-, , , , , , , , 
528	ВИА Веселые ребята	-, , , , , , , , 
529	Омороженные солнцем	Опалённые солнцем, , , , , , , , 
530	Староверы	-, , , , , , , , 
531	Дочери директора антисептического завода	-, , , , , , , , 
532	Матание копьём	-, , , , , , , , 
533	Баста	-, , , , , , , , 
534	Принято к сведению	-, , , , , , , , 
535	Комитет котов	-, , , , , , , , 
536	Внуки Винни-Пуха	-, , , , , , , , 
537	Маркетолог и Психологини	-, , , , , , , , 
538	Без названия и фантазии	-, , , , , , , , 
539	Бешеная Сгущёнка	-, , , , , , , , 
540	Гусары Карибского моря!	Пираты Карибского Моря, , , , , , , , 
541	Акуна без мата	Акуна Матата, , , , , , , , 
542	Чем бы дитя ни тешилось, лишь бы не Гоша.  	-, , , , , , , , 
543	9а (бывший 8а)	-, , , , , , , , 
544	Шарики за ролики	-, , , , , , , , 
545	Не первое место	-, , , , , , , , 
546	Команда, которая не сможет собраться 	-, , , , , , , , 
547	Звуки вечера	-, , , , , , , , 
548	Купе полупроводника	Купе проводника, , , , , , , , 
549	Ремннем по Жоре	Ремнем по жопе, , , , , , , , 
550	Счастливчики	-, , , , , , , , 
551	Позитивщики	-, , , , , , , , 
552	Ненастоящие детективы	Настоящий детектив, , , , , , , , 
553	О'кей Google	-, , , , , , , , 
554	Хоп Хей Лалалей	-, , , , , , , , 
555	#ДавайСоМной	-, , , , , , , , 
556	Внеурочка	-, , , , , , , , 
557	Кучерявые мозги	-, , , , , , , , 
558	ЯДРА КЕДРА	-, , , , , , , , 
559	Те, кого нельзя называть	-, , , , , , , , 
